Station No.,0,1,2,3,4,5,6,7,8,9,10,15,20,22.5,Distance
1,45.3,44.5,43.8,43.8,43.4,43.1,43,43.4,43.4,43.4,43.2,41.9,42.4,43.1,0
2,45.3,44.9,43.8,43.7,43.8,43.8,43.9,44,44,43.7,43.1,41.5,42.5,43.1,1
3,45.7,45.8,45.5,45.1,44.8,44.5,43.8,43.3,43.5,43.7,43.5,41.5,42.5,43.1,2
4,45.3,44,43.5,43.5,43.8,44.1,43.9,43.8,43.2,43.7,43.5,42.2,42.8,43.1,3
5,45.2,43.9,43.7,43.2,42.8,42.7,43,43.1,43.2,43.4,43.5,42.8,42.7,43.1,4
6,44.9,43.4,42.6,42.5,42.1,42.1,42.5,42.8,43,43.4,43.5,43.4,43.1,43.1,5
7,44.8,44.4,44.2,44.1,43.9,43.5,43.3,43.1,43,43.1,43.5,44,43.5,43.1,6
8,44.7,44,43.3,43.1,43,43,43,43.1,43.4,43.5,43.5,43.1,43.5,43.1,7
9,44.6,43.1,42.5,42.5,42.4,42.5,42.6,43.2,43.5,43.4,43.5,43.4,43.5,43.1,8
10,44.6,44,43.5,42.9,42.5,42.3,42.4,42.3,42.8,43.2,43,43.1,43.5,43.1,9
11,44.7,44.3,44,43.9,43.4,43.2,42.7,42.1,41.8,41.7,42,43.1,43.3,43.1,10
12,44.7,43.9,43.2,43.2,43,42.8,42.4,41.8,41.8,41.9,41.8,42.5,43.5,43.1,15
13,44.6,43.8,43,42.9,42.5,42,42,42,41.9,41.9,42.1,42.6,43.4,43.1,20
14,44.8,44,42.4,42.5,42,42.5,42.7,42.2,42.2,42,42,43.2,43.2,43.1,22.5
15,45,43.4,42.8,42.7,43,42.9,43,43,43,42.9,42.7,41.9,42.5,43.1,
16,45.1,43.8,42.8,42.4,42.5,42.4,42.9,43.2,43.5,43.4,43.1,41.9,42.5,43.1,
